# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
OG0003609	tr|A0A5D3BXZ3|A0A5D3BXZ3_CUCME	***	Heat shock 70 kDa protein 15-like		
OG0003611	tr|A0A1S3CGB3|A0A1S3CGB3_CUCME	***	Transcription repressor		
OG0003610	sp|F4HQE2|RTEL1_ARATH	***	Regulator of telomere elongation helicase 1 homolog		
OG0003613	AT3G20260.1	***	Protein of unknown function (DUF1666)		
OG0003612	tr|A0A1S4E4E3|A0A1S4E4E3_CUCME	***	Receptor-like serine/threonine-protein kinase		
OG0003615	tr|A0A0A0KCN8|A0A0A0KCN8_CUCSA	***	Phospholipid-transporting ATPase		
OG0003614	AT2G46915.1	***	Protein of unknown function (DUF3754)		
OG0015660	AT5G66600.4	***	Protein of unknown function, DUF547		
OG0015661	tr|A0A1S4E0D9|A0A1S4E0D9_CUCME	***	plastid division protein PDV2		
OG0015662	tr|A0A0A0K3D2|A0A0A0K3D2_CUCSA	***	NAD(P)-bd_dom domain-containing protein		
OG0015663	tr|A0A1S3C0S7|A0A1S3C0S7_CUCME	***	phospholipase A-2-activating protein		
OG0015664	tr|A0A1S3BZK0|A0A1S3BZK0_CUCME	***	transcription termination factor MTEF1, chloroplastic		
OG0015665	tr|A0A1S3BZ46|A0A1S3BZ46_CUCME	***	cytochrome c biogenesis protein CCS1, chloroplastic		
OG0015666	tr|A0A5A7SJM1|A0A5A7SJM1_CUCME	***	4-hydroxy-3-methylbut-2-enyl diphosphate reductase		
OG0015667	tr|A0A6J1I4L7|A0A6J1I4L7_CUCMA	***	methyltransferase-like protein 13		
OG0015668	tr|A0A1S3CI58|A0A1S3CI58_CUCME	***	kiwellin-like		
OG0015669	tr|A0A0A0K8D1|A0A0A0K8D1_CUCSA	***	INCENP_ARK-bind domain-containing protein		
OG0013009			Unknown protein		
OG0013008			Unknown protein		
OG0003680	tr|A0A1S3CLG4|A0A1S3CLG4_CUCME	***	SNF1-related protein kinase regulatory subunit gamma-1		
OG0013007	tr|A0A0A0KUM5|A0A0A0KUM5_CUCSA	***	FAS1 domain-containing protein		
OG0013006	tr|A0A1S3BGH4|A0A1S3BGH4_CUCME	***	Sulfhydryl oxidase		
OG0003682	tr|A0A1S3CN07|A0A1S3CN07_CUCME	***	cytochrome P450 94B3		
OG0013005	tr|A0A1S3BGB9|A0A1S3BGB9_CUCME	***	Repressor of RNA polymerase III transcription		
OG0001020	tr|A0A5A7U5J8|A0A5A7U5J8_CUCME	***	Bifunctional fucokinase/fucose pyrophosphorylase isoform X2		
OG0003681	tr|A0A0A0LNX7|A0A0A0LNX7_CUCSA	***	DET1- and DDB1-associated protein 1		
OG0013004			Unknown protein		
OG0001021	tr|A0A1S3AWR7|A0A1S3AWR7_CUCME	***	DNA repair protein RAD50		
OG0003684	tr|A0A072UPF4|A0A072UPF4_MEDTR	***	EF hand calcium-binding family protein		
OG0013003	tr|A0A6J1IQB7|A0A6J1IQB7_CUCMA	***	tetratricopeptide repeat protein 5-like		
OG0001022	tr|A0A0A0L4N4|A0A0A0L4N4_CUCSA	***	DUF3883 domain-containing protein		
OG0003683	tr|A0A0A0LNM0|A0A0A0LNM0_CUCSA	***	U3 small nucleolar ribonucleoprotein protein MPP10		
OG0013002	tr|A0A5A7STR4|A0A5A7STR4_CUCME	***	Sarcoplasmic reticulum histidine-rich calcium-binding protein		
OG0001023	tr|A0A1S3AX06|A0A1S3AX06_CUCME	***	thermospermine synthase ACAULIS5-like		
OG0003686	tr|A0A1S3CLP0|A0A1S3CLP0_CUCME	***	nucleolar protein 56-like		
OG0013001	tr|A0A0A0KR83|A0A0A0KR83_CUCSA	***	FAD-binding FR-type domain-containing protein		
OG0001024	tr|A0A1S3AYL5|A0A1S3AYL5_CUCME	***	sugar transport protein 13-like		
OG0003685	tr|A0A0A0LNZ7|A0A0A0LNZ7_CUCSA	***	Citrulline--aspartate ligase		
OG0013000	tr|A0A5D3CBE5|A0A5D3CBE5_CUCME	***	Protein DETOXIFICATION		
OG0001025	tr|A0A5A7U0U6|A0A5A7U0U6_CUCME	***	Basic 7S globulin-like		
OG0003688	AT5G60160.1	***	Zn-dependent exopeptidases superfamily protein		
OG0001026	tr|A0A0A0L5P5|A0A0A0L5P5_CUCSA	***	Protein FAR1-RELATED SEQUENCE		
OG0003687	tr|A0A0A0LNQ3|A0A0A0LNQ3_CUCSA	***	ATP:AMP phosphotransferase		
OG0001027	tr|A0A5A7U0V4|A0A5A7U0V4_CUCME	***	Transcription termination factor MTEF1		
OG0001028	tr|A0A5A7U7B5|A0A5A7U7B5_CUCME	***	Transcription termination factor MTEF1		
OG0003689	tr|A0A5N5G5W3|A0A5N5G5W3_9ROSA	***	Aspartyl aminopeptidase		
OG0001029	tr|A0A5A7U7A6|A0A5A7U7A6_CUCME	***	Omega-hydroxypalmitate O-feruloyl transferase-like		
OG0001009	tr|A0A1S3BKD3|A0A1S3BKD3_CUCME	***	beta-amyrin 11-oxidase-like		
OG0015650	tr|A0A5D3C4D1|A0A5D3C4D1_CUCME	***	BAT2 domain-containing protein 1		
OG0015651	AT2G15900.1	***	Phox-associated domain;Phox-like;Sorting nexin, C-terminal		
OG0015652	tr|A0A6J1EZ40|A0A6J1EZ40_CUCMO	***	transmembrane protein 45B		
OG0015653	tr|A0A5D3C5R0|A0A5D3C5R0_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0015654	tr|A0A5A7SJN1|A0A5A7SJN1_CUCME	***	Diphthamide biosynthesis protein 3-like		
OG0015655			Unknown protein		
OG0015656	AT3G18950.1	***	Transducin/WD40 repeat-like superfamily protein		
OG0015657	tr|A0A1S3C0U0|A0A1S3C0U0_CUCME	***	proteasome assembly chaperone 2		
OG0015658	AT5G42650.1	***	allene oxide synthase		
OG0015659	tr|A0A1S3BZQ0|A0A1S3BZQ0_CUCME	***	allene oxide synthase 3-like		
OG0003671	tr|A0A0A0LR70|A0A0A0LR70_CUCSA	***	HVA22-like protein		
OG0003670	tr|A0A0A0LNV2|A0A0A0LNV2_CUCSA	***	RecQ-mediated genome instability protein 1		
OG0001010	tr|A0A061G4Q5|A0A061G4Q5_THECC	***	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein		
OG0003673	tr|A0A1S3CLJ3|A0A1S3CLJ3_CUCME	***	heavy metal-associated isoprenylated plant protein 3		
OG0001011	tr|A0A5D3D7A1|A0A5D3D7A1_CUCME	***	DEAD-box ATP-dependent RNA helicase 47		
OG0003672	tr|A0A1S3CMY7|A0A1S3CMY7_CUCME	***	surfeit locus protein 6		
OG0001012	tr|A0A6J1FUR3|A0A6J1FUR3_CUCMO	***	cytochrome P450 87A3-like		
OG0003675	tr|A0A5D3BGR7|A0A5D3BGR7_CUCME	***	Squamosa promoter-binding-like protein 13A		
OG0001013	tr|A0A1S3BKJ5|A0A1S3BKJ5_CUCME	***	WEB family protein At5g55860		
OG0003674			Unknown protein		
OG0001014	tr|A0A1S3BKM2|A0A1S3BKM2_CUCME	***	heterogeneous nuclear ribonucleoprotein 1		
OG0003677	tr|A0A0A0LNX1|A0A0A0LNX1_CUCSA	***	MYND-type domain-containing protein		
OG0001015	tr|A0A0A0L2W4|A0A0A0L2W4_CUCSA	***	Rab3 GTPase-activating protein catalytic subunit		
OG0003676	tr|A0A1S3CLK0|A0A1S3CLK0_CUCME	***	gamma carbonic anhydrase-like 2, mitochondrial		
OG0001016	tr|B9SIE1|B9SIE1_RICCO	***	Cyclic nucleotide-gated ion channel, putative		
OG0003679	tr|A0A0A0LNL4|A0A0A0LNL4_CUCSA	***	Snurportin-1		
OG0001017	tr|A0A0A0L6P3|A0A0A0L6P3_CUCSA	***	PB1 domain-containing protein		
OG0003678	tr|A0A0A0LR86|A0A0A0LR86_CUCSA	***	Purple acid phosphatase		
OG0001018	tr|A0A5D3D4T5|A0A5D3D4T5_CUCME	***	Transmembrane protein 64		
OG0001019	tr|A0A5D3D4S3|A0A5D3D4S3_CUCME	***	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase		
OG0015640	tr|A0A1S3BZS3|A0A1S3BZS3_CUCME	***	exosome complex exonuclease RRP44 homolog A		
OG0015641	AT1G68670.1	***	myb-like transcription factor family protein		
OG0015642			Unknown protein		
OG0015643	tr|A0A6J1C1H6|A0A6J1C1H6_MOMCH	***	far upstream element-binding protein 1-like		
OG0015644	tr|A0A2P5FZ45|A0A2P5FZ45_TREOI	***	Embryo defective		
OG0015645	tr|A0A0A0K4V3|A0A0A0K4V3_CUCSA	***	AB hydrolase-1 domain-containing protein		
OG0015646	AT3G19000.1	***	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein		
OG0015647	tr|A0A1S3BZ66|A0A1S3BZ66_CUCME	***	protein DMR6-LIKE OXYGENASE 2-like		
OG0015648	AT3G19000.1	***	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein		
OG0015649	tr|A0A7J0ETH1|A0A7J0ETH1_9ERIC	***	Methyl esterase 1		
OG0015639	tr|A0A1S4E0H5|A0A1S4E0H5_CUCME	***	calmodulin-interacting protein 111 isoform X1		
OG0003660	tr|A0A0A0LR52|A0A0A0LR52_CUCSA	***	NAC domain-containing protein		
OG0003662	tr|A0A1S3CLU1|A0A1S3CLU1_CUCME	***	Bidirectional sugar transporter SWEET		
OG0001000	tr|A0A061GKS4|A0A061GKS4_THECC	***	Translation initiation factor IF-2		
OG0003661	tr|A0A5D3BF59|A0A5D3BF59_CUCME	***	Exosome complex component RRP4-like protein		
OG0001001	tr|A0A1S3BCH0|A0A1S3BCH0_CUCME	***	protein NRT1/ PTR FAMILY 1.2-like		
OG0003664	tr|A0A0A0LR57|A0A0A0LR57_CUCSA	***	Pseudouridine synthase		
OG0001002	tr|A0A1S3BBU9|A0A1S3BBU9_CUCME	***	Plasma membrane ATPase		
OG0003663	tr|A0A0A0LNT9|A0A0A0LNT9_CUCSA	***	Bidirectional sugar transporter SWEET		
OG0001003	tr|A0A0A0LQ00|A0A0A0LQ00_CUCSA	***	cwf21 domain-containing protein		
OG0003666	tr|A0A1S3CLV1|A0A1S3CLV1_CUCME	***	omega-hydroxypalmitate O-feruloyl transferase		
OG0001004	tr|A0A1S3BBL9|A0A1S3BBL9_CUCME	***	UPF0481 protein At3g47200-like		
OG0003665	tr|A0A1S3CLE0|A0A1S3CLE0_CUCME	***	protein MICRORCHIDIA 7		
OG0001005	AT3G50180.1	*-*	Plant protein of unknown function (DUF247)		
OG0003668	tr|A0A0A0LTZ9|A0A0A0LTZ9_CUCSA	***	DEK_C domain-containing protein		
OG0001006	tr|A0A0A0LM16|A0A0A0LM16_CUCSA	***	Exostosin domain-containing protein		
OG0003667			Unknown protein		
OG0001007	tr|A0A0A0LT23|A0A0A0LT23_CUCSA	***	Protein kinase domain-containing protein		
OG0001008	tr|A0A0A0L115|A0A0A0L115_CUCSA	***	Proteasome subunit alpha type		
OG0003669	tr|A0A1S4E5E5|A0A1S4E5E5_CUCME	***	SWI/SNF complex subunit SWI3A		
OG0003649			Unknown protein		
OG0015630	tr|A0A5D3C491|A0A5D3C491_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0015631	tr|A0A6J1EIB3|A0A6J1EIB3_CUCMO	***	B3 domain-containing protein At3g19184-like		
OG0015632	tr|A0A6J1JL07|A0A6J1JL07_CUCMA	***	cyclin-dependent kinase inhibitor 7-like		
OG0015633	tr|A0A1S3BZ86|A0A1S3BZ86_CUCME	***	presequence protease 1, chloroplastic/mitochondrial-like		
OG0015634	AT2G15730.1	***	P-loop containing nucleoside triphosphate hydrolases superfamily protein		
OG0015635	AT2G15760.1	***	Protein of unknown function (DUF1645)		
OG0015636	tr|A0A0A0K4T4|A0A0A0K4T4_CUCSA	***	Matrin-type domain-containing protein		
OG0015637	tr|A0A5D3C4F1|A0A5D3C4F1_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0015638	tr|A0A6J1GKJ0|A0A6J1GKJ0_CUCMO	***	CDPK-related protein kinase-like		
OG0015628	tr|A0A1S3BZU3|A0A1S3BZU3_CUCME	***	LAG1 longevity assurance homolog 2		
OG0015629	AT5G59680.1	***	Leucine-rich repeat protein kinase family protein		
OG0003651	tr|A0A0A0LNR6|A0A0A0LNR6_CUCSA	***	Acyl carrier protein		
OG0003650	tr|A0A5A7UPF0|A0A5A7UPF0_CUCME	***	Rubredoxin family protein		
OG0003653	tr|A0A1S3CLG8|A0A1S3CLG8_CUCME	***	CCA-adding enzyme		
OG0003652	tr|A0A2R6PSA8|A0A2R6PSA8_ACTCC	***	Mitochondrial phosphate carrier protein like		
OG0003655	tr|A0A0A0LRM8|A0A0A0LRM8_CUCSA	***	SAM domain-containing protein		
OG0003654	tr|E5GBM5|E5GBM5_CUCME	***	BHLH transcription factor		
OG0003657	tr|A0A0A0LTY2|A0A0A0LTY2_CUCSA	***	E2 ubiquitin-conjugating enzyme		
OG0003656	tr|A0A0A0LNS3|A0A0A0LNS3_CUCSA	***	Serine C-palmitoyltransferase		
OG0003659	tr|A0A5D3BHA4|A0A5D3BHA4_CUCME	***	ABC transporter F family member 4-like		
OG0003658	tr|A0A5A7UVZ5|A0A5A7UVZ5_CUCME	***	DNA binding,ATP binding, putative isoform 1		
OG0025029	tr|A0A1S3CRT8|A0A1S3CRT8_CUCME	*-*	transcriptional corepressor SEUSS		
OG0025027			Unknown protein		
OG0025028	AT4G16890.1	*-*	disease resistance protein (TIR-NBS-LRR class), putative		
OG0025025			Unknown protein		
OG0025026			Unknown protein		
OG0025023	AT3G21460.1	*-*	Glutaredoxin family protein		
OG0025024	tr|A0A1S3CK74|A0A1S3CK74_CUCME	*-*	phototropin-1		
OG0025021	tr|A0A2U1QJ74|A0A2U1QJ74_ARTAN	*-*	Flagellar radial spoke protein 5		
OG0025022	tr|A0A0A0KF72|A0A0A0KF72_CUCSA	*-*	HVA22-like protein		
OG0025020			Unknown protein		
OG0001060	tr|A0A1S4DUG7|A0A1S4DUG7_CUCME	***	L10-interacting MYB domain-containing protein-like isoform X2		
OG0001061	tr|A0A1S3B807|A0A1S3B807_CUCME	***	aquaporin NIP2-1-like		
OG0001062			Unknown protein		
OG0001063	tr|A0A061EBW1|A0A061EBW1_THECC	***	Galactinol--sucrose galactosyltransferase		
OG0013049	tr|A0A1S3BFC5|A0A1S3BFC5_CUCME	***	protein trichome birefringence-like 36		
OG0001064	tr|A0A5A7UUT4|A0A5A7UUT4_CUCME	***	Mitogen-activated protein kinase kinase 3		
OG0013048	tr|A0A5A7SZ21|A0A5A7SZ21_CUCME	***	DUF2996 family protein		
OG0001065	tr|A0A0A0LCI7|A0A0A0LCI7_CUCSA	***	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase		
OG0013047	tr|A0A1S3BFU5|A0A1S3BFU5_CUCME	***	transformer-2 protein homolog alpha-like		
OG0001066	tr|A0A0A0LGB9|A0A0A0LGB9_CUCSA	***	PWWP domain-containing protein		
OG0013046	tr|A0A1S3BFU5|A0A1S3BFU5_CUCME	***	transformer-2 protein homolog alpha-like		
OG0001067	tr|B9RBM1|B9RBM1_RICCO	***	Phosducin, putative		
OG0013045	tr|A0A6J1GZ71|A0A6J1GZ71_CUCMO	***	glycine-rich RNA-binding protein GRP1A-like		
OG0001068	tr|A0A6J1GXM2|A0A6J1GXM2_CUCMO	***	NADP-specific glutamate dehydrogenase-like		
OG0013044	tr|A0A5D3CCZ5|A0A5D3CCZ5_CUCME	***	Cucumisin-like		
OG0001069	tr|A0A1S3BZ48|A0A1S3BZ48_CUCME	***	receptor-like protein kinase THESEUS 1		
OG0013043	tr|A0A1S4DW57|A0A1S4DW57_CUCME	***	cucumisin-like		
OG0013042	tr|A0A5D3CFW5|A0A5D3CFW5_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0013041	tr|A0A0A0KRE3|A0A0A0KRE3_CUCSA	***	Transcription repressor		
OG0013040	AT5G04830.2	***	Nuclear transport factor 2 (NTF2) family protein		
OG0015690	tr|A0A1S3CI27|A0A1S3CI27_CUCME	***	Serine O-acetyltransferase		
OG0015691	tr|A0A5D3CA57|A0A5D3CA57_CUCME	***	30S ribosomal protein S10		
OG0025018			Unknown protein		
OG0015692			Unknown protein		
OG0025019	tr|A0A0A0KDN5|A0A0A0KDN5_CUCSA	*-*	Protein kinase domain-containing protein		
OG0015693	tr|A0A0A0LEH2|A0A0A0LEH2_CUCSA	***	Cytokinin riboside 5'-monophosphate phosphoribohydrolase		
OG0025016	tr|A0A5A7T992|A0A5A7T992_CUCME	*-*	Transcription factor TCP20-like		
OG0015694	tr|A0A5D3CCI0|A0A5D3CCI0_CUCME	***	Beta-(1,2)-xylosyltransferase		
OG0025017	tr|A0A0A0KDV9|A0A0A0KDV9_CUCSA	*-*	PAP_fibrillin domain-containing protein		
OG0015695	tr|A0A1S3BI03|A0A1S3BI03_CUCME	***	pirin-like protein		
OG0025014	tr|A0A1S3C857|A0A1S3C857_CUCME	*-*	Protein-serine/threonine phosphatase		
OG0015696	tr|A0A0A0LBB3|A0A0A0LBB3_CUCSA	***	Glycerophosphodiester phosphodiesterase		
OG0025015	tr|A0A1S3CC82|A0A1S3CC82_CUCME	*-*	arginase 1, mitochondrial		
OG0015697	tr|A0A1S3BIX2|A0A1S3BIX2_CUCME	***	Sodium/hydrogen exchanger		
OG0025012	tr|A0A0A0KBE0|A0A0A0KBE0_CUCSA	***	S-adenosylmethionine decarboxylase proenzyme		
OG0015698	tr|A0A6P5S625|A0A6P5S625_PRUAV	***	upstream activation factor subunit spp27-like		
OG0025013	tr|A0A0A0KBE0|A0A0A0KBE0_CUCSA	***	S-adenosylmethionine decarboxylase proenzyme		
OG0015699	tr|A0A5A7U3H0|A0A5A7U3H0_CUCME	***	GDSL esterase/lipase		
OG0025010			Unknown protein		
OG0025011	tr|A0A0A0K8L4|A0A0A0K8L4_CUCSA	*-*	Myb_DNA-bind_3 domain-containing protein		
OG0001050	tr|A0A0A0LAX0|A0A0A0LAX0_CUCSA	***	RING-CH-type domain-containing protein		
OG0001051	tr|A0A6J1F4P8|A0A6J1F4P8_CUCMO	***	protein ABSCISIC ACID-INSENSITIVE 5-like		
OG0013039	tr|A0A1S3BGG5|A0A1S3BGG5_CUCME	***	Exocyst subunit Exo70 family protein		
OG0001052	tr|A0A0A0LB42|A0A0A0LB42_CUCSA	***	C2 NT-type domain-containing protein		
OG0013038	tr|A0A7J7C5I2|A0A7J7C5I2_TRIWF	***	Nudix hydrolase		
OG0001053	tr|A0A6J1J5X2|A0A6J1J5X2_CUCMA	***	splicing factor 3B subunit 3		
OG0013037	tr|A0A0A0KTD9|A0A0A0KTD9_CUCSA	***	Glycos_transf_1 domain-containing protein		
OG0001054	tr|A0A0A0LER9|A0A0A0LER9_CUCSA	***	Exocyst complex component		
OG0013036	tr|A0A0A0KRD9|A0A0A0KRD9_CUCSA	***	Uricase		
OG0001055	tr|A0A6J1F406|A0A6J1F406_CUCMO	***	mediator of RNA polymerase II transcription subunit 15a-like		
OG0013035	tr|A0A1S3BGG0|A0A1S3BGG0_CUCME	***	apoptosis-inducing factor 2-like		
OG0001056	tr|A0A5D3DPU7|A0A5D3DPU7_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0013034	tr|A0A1S3BFT5|A0A1S3BFT5_CUCME	***	charged multivesicular body protein 5		
OG0001057	tr|A0A5D3DPU7|A0A5D3DPU7_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0013033	tr|A0A6J1HXX3|A0A6J1HXX3_CUCMA	***	basic leucine zipper 34		
OG0001058	tr|A0A1S3B974|A0A1S3B974_CUCME	***	F-box protein CPR30-like		
OG0013032	sp|Q04960|DNJH_CUCSA	***	DnaJ protein homolog		
OG0001059	tr|A0A1S3B7X2|A0A1S3B7X2_CUCME	*-*	cytochrome P450 CYP72A219-like		
OG0013031	tr|A0A0A0KRD5|A0A0A0KRD5_CUCSA	***	5'-nucleotidase		
OG0013030	tr|A0A7N2LHN3|A0A7N2LHN3_QUELO	***	C2 NT-type domain-containing protein		
OG0025009	tr|A0A1S4E2H8|A0A1S4E2H8_CUCME	*-*	protein NRT1/ PTR FAMILY 5.10-like		
OG0015680	tr|A0A6J1CGH2|A0A6J1CGH2_MOMCH	***	DNA-dependent metalloprotease WSS1 isoform X2		
OG0025007	tr|A0A0A0KSJ9|A0A0A0KSJ9_CUCSA	*-*	Endo-1,3(4)-beta-glucanase		
OG0015681	tr|A0A0A0K706|A0A0A0K706_CUCSA	***	Pectinesterase		
OG0025008	tr|A0A5D3BMZ0|A0A5D3BMZ0_CUCME	*-*	DUF4149 domain-containing protein		
OG0015682	tr|A0A0A0K8F5|A0A0A0K8F5_CUCSA	***	BAH domain-containing protein		
OG0025005	tr|A0A0A0KRG2|A0A0A0KRG2_CUCSA	*-*	RING-type domain-containing protein		
OG0015683	tr|A0A061FCG5|A0A061FCG5_THECC	***	Leucine-rich repeat protein kinase family protein, putative		
OG0025006	tr|A0A1S3CA10|A0A1S3CA10_CUCME	*-*	phosphate transporter PHO1 homolog 9-like isoform X2		
OG0015684	tr|A0A1S3CI38|A0A1S3CI38_CUCME	***	transcription termination factor MTERF9, chloroplastic		
OG0025003			Unknown protein		
OG0015685	tr|A0A5A7U359|A0A5A7U359_CUCME	***	Vacuolar protein 8		
OG0025004	tr|A0A0A0KRG2|A0A0A0KRG2_CUCSA	*-*	RING-type domain-containing protein		
OG0015686	tr|A0A4S4D2W5|A0A4S4D2W5_CAMSI	***	PI-PLC Y-box domain-containing protein		
OG0025001	tr|A0A1S3BFK4|A0A1S3BFK4_CUCME	***	beta-1,3-galactosyltransferase GALT1		
OG0015687			Unknown protein		
OG0025002	tr|A0A1S3BEH9|A0A1S3BEH9_CUCME	*-*	cell division topological specificity factor homolog, chloroplastic		
OG0015688	tr|A0A0A0LGK9|A0A0A0LGK9_CUCSA	***	2Fe-2S ferredoxin-type domain-containing protein		
OG0015689	tr|A0A5D3C8T3|A0A5D3C8T3_CUCME	***	ABC transporter C family member 3-like		
OG0025000	tr|A0A1S3BDS4|A0A1S3BDS4_CUCME	*-*	calumenin-B		
OG0013029	tr|A0A5A7SZK9|A0A5A7SZK9_CUCME	***	Nuclear pore complex protein NUP1 isoform X1		
OG0001040	tr|A0A6J1J2R6|A0A6J1J2R6_CUCMA	***	E3 ubiquitin-protein ligase rnf8-A isoform X1		
OG0013028	tr|A0A2P5EAL0|A0A2P5EAL0_TREOI	***	Calcium dependent protein kinase		
OG0001041	tr|A0A5D3BTZ5|A0A5D3BTZ5_CUCME	***	Arabinogalactan peptide 22		
OG0013027	tr|A0A1S3BGE8|A0A1S3BGE8_CUCME	***	3-oxo-5-alpha-steroid 4-dehydrogenase 1-like		
OG0001042	tr|A0A5D3BES4|A0A5D3BES4_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0013026	tr|A0A6J1GZA3|A0A6J1GZA3_CUCMO	***	3-oxo-5-alpha-steroid 4-dehydrogenase 1-like		
OG0001043	tr|A0A6J1IUB7|A0A6J1IUB7_CUCMA	***	DDRGK domain-containing protein 1-like		
OG0013025	tr|A0A0A0KRC7|A0A0A0KRC7_CUCSA	***	Lipoyl(octanoyl) transferase		
OG0001044	tr|A0A1S3BYB5|A0A1S3BYB5_CUCME	***	microtubule-associated protein TORTIFOLIA1		
OG0013024	tr|A0A0A0KWK3|A0A0A0KWK3_CUCSA	***	Sucrose-phosphatase		
OG0001045	tr|A0A5D3CBK9|A0A5D3CBK9_CUCME	***	Pre-mRNA cleavage complex 2 protein Pcf11, putative isoform 2		
OG0013023	tr|A0A1S3BGE4|A0A1S3BGE4_CUCME	***	beta-glucosidase BoGH3B isoform X1		
OG0001046	tr|A0A0A0LDI3|A0A0A0LDI3_CUCSA	***	NAC domain-containing protein		
OG0013022	sp|Q9ZW31|HS17B_ARATH	--*	17.6 kDa class I heat shock protein 2		
OG0001047	tr|A0A0A0LBV7|A0A0A0LBV7_CUCSA	***	Long-chain-alcohol oxidase		
OG0013021	tr|A0A0A0KUN8|A0A0A0KUN8_CUCSA	***	Pectinesterase		
OG0001048	tr|A0A1S3BHB6|A0A1S3BHB6_CUCME	***	phospholipid--sterol O-acyltransferase isoform X1		
OG0013020	tr|A0A5D3CBE3|A0A5D3CBE3_CUCME	***	Ethylene-responsive transcription factor WRI1		
OG0001049	tr|A0A1S3CKG3|A0A1S3CKG3_CUCME	***	cytochrome P450 71A1-like		
OG0015670	tr|A0A0A0K3H5|A0A0A0K3H5_CUCSA	***	Phytocyanin domain-containing protein		
OG0015671	AT4G00920.1	*-*	COP1-interacting protein-related		
OG0015672	tr|A0A0A0K6Y6|A0A0A0K6Y6_CUCSA	***	AvrRpt-cleavage domain-containing protein		
OG0015673	tr|A0A6J1IGM7|A0A6J1IGM7_CUCMA	***	cellulose synthase-like protein E1		
OG0015674	tr|A0A1S3CI74|A0A1S3CI74_CUCME	***	cellulose synthase-like protein E6		
OG0015675	sp|Q6BPT6|AIM32_DEBHA	*-*	Altered inheritance of mitochondria protein 32		
OG0015676	tr|A0A2P5EL73|A0A2P5EL73_TREOI	***	RNA (C5-cytosine) methyltransferase, NOP		
OG0015677	tr|A0A1S3CIN1|A0A1S3CIN1_CUCME	***	mitochondrial import inner membrane translocase subunit TIM50		
OG0015678	tr|A0A1S3CI48|A0A1S3CI48_CUCME	***	zinc transporter 11		
OG0015679			Unknown protein		
OG0013019	tr|A0A1S3BGD9|A0A1S3BGD9_CUCME	***	protein RBL		
OG0003691	tr|A0A5A7UPJ6|A0A5A7UPJ6_CUCME	***	F-box/LRR-repeat protein		
OG0013018	tr|A0A5A7SUF3|A0A5A7SUF3_CUCME	***	DExH-box ATP-dependent RNA helicase DExH3		
OG0003690	tr|A0A0A0LP00|A0A0A0LP00_CUCSA	***	Mitochondrial pyruvate carrier		
OG0013017	tr|A0A5A7SZV4|A0A5A7SZV4_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0001030	tr|A0A0A0L5U3|A0A0A0L5U3_CUCSA	***	WD_REPEATS_REGION domain-containing protein		
OG0003693	tr|A0A0A0LP03|A0A0A0LP03_CUCSA	***	Flavoprotein domain-containing protein		
OG0013016	tr|A0A2P5E6G0|A0A2P5E6G0_TREOI	***	DNA repair REX1-B protein		
OG0001031	tr|A0A0A0L968|A0A0A0L968_CUCSA	***	Alkaline/neutral invertase		
OG0003692	tr|A0A0A0LRX4|A0A0A0LRX4_CUCSA	***	1,3-beta-glucan synthase		
OG0013015			Unknown protein		
OG0001032	tr|A0A0A0LAS8|A0A0A0LAS8_CUCSA	***	Dihydrolipoyl dehydrogenase		
OG0003695	tr|A0A0A0LNR7|A0A0A0LNR7_CUCSA	***	DUF4110 domain-containing protein		
OG0013014	tr|A0A5D3CAZ6|A0A5D3CAZ6_CUCME	***	Heavy metal-associated isoprenylated plant protein 20-like		
OG0001033	tr|A0A0A0L9F1|A0A0A0L9F1_CUCSA	***	Structural maintenance of chromosomes protein		
OG0003694	tr|A0A1S3CLM4|A0A1S3CLM4_CUCME	***	adenine/guanine permease AZG2		
OG0013013	AT1G71070.1	***	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein		
OG0001034	tr|A0A5D3DH33|A0A5D3DH33_CUCME	***	Leucine-rich repeat receptor protein kinase EMS1		
OG0003697	sp|O67886|HEMN_AQUAE	***	Oxygen-independent coproporphyrinogen III oxidase		
OG0013012	AT5G10830.1	***	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein		
OG0001035	tr|B9RIT0|B9RIT0_RICCO	***	Heat shock protein, putative		
OG0003696	tr|A0A0A0LU52|A0A0A0LU52_CUCSA	***	C2H2-type domain-containing protein		
